,text,V,A,D
593,"minaya obtained floyd from the florida marlins on july 11 , only two weeks after he stunned baseball by acquiring bartolo colon from cleveland .",3.0,3.0,3.0
594,"the expos , who had a 46-41 record when they made their first floyd deal , had only a 7-12 record with him on the team , dropping from 9 1/2 games behind atlanta in the national league east to as many as 16 games back .",3.0,2.63,3.12
595,"it was the first time that the senate ethics committee had voted to take action against a senator since 1995 , when it recommended that bob packwood , an oregon republican , be expelled on the ground of sexual and official misconduct .",2.9,3.1,3.2
596,"floyd can be a free agent after this season , and minaya decided it would be more prudent to trade him and get value in return than have to settle for a draft choice or two as compensation when he signed with another team as a free agent .",3.0,3.0,3.0
597,the expos acquired sun woo-kim and seung jun-song .,3.1,2.7,3.2
598,"kim , 24 , is a right-handed pitcher from seoul .",3.0,2.75,3.0
599,the red sox signed him in 1997 .,3.09,2.54,2.91
600,song is a 22-year-old right-hander from pusan .,3.0,2.88,3.12
601,the red sox signed him in 1999 .,3.0,2.75,3.0
602,they led the yankees for most of the first three months of the season but then slipped behind them in the american league east .,2.7,3.0,3.1
603,"earlier in the day tuesday , one member of the red sox organization was not sure they would be able to get floyd .",2.8,3.1,2.9
604,"`` i do n't know that he 's that serious about moving him , ''",3.0,2.9,2.9
605,"`` i do n't know that he 's that serious about moving him , '' the person said of minaya .",3.0,2.75,3.0
606,"but as the day wore on , the red sox tried harder and by tuesday night were able to get the player they wanted for their lineup .",3.5,3.1,3.4
607,with the barrage of crack cocaine-connected killings in the 1980s came the realization that young people were too often full-fledged players in the violence .,2.5,3.2,2.9
608,"that was more evident here than in any other city , said george starke , who after his career as an offensive tackle with the washington redskins from 1973 to 1984 stuck around and decided to make this place more than his home .",3.22,3.11,3.33
609,"`` there was death in d.c. throughout the '80s and into the '90s , and there was death everywhere , ''",2.3,3.1,2.8
610,`` it was n't like new york 's or boston 's organized crime .,2.9,3.1,2.8
611,it was kids shooting kids .,2.44,3.22,3.0
612,and from the beginning i could see that it was all about jobs .,3.1,2.9,3.1
613,i could see that you needed the private sector involved . '',3.0,3.1,3.1
614,starke could see that in many instances these were cases of lost dignity .,2.62,2.88,3.0
615,"`` i had a young man come up to me three years ago and say , 'mr . starke , i 'm tired of going to bed at night with a tech-9 gun under my pillow . ''",2.7,3.0,2.8
616,"`` i had a young man come up to me three years ago and say , 'mr . starke , i 'm tired of going to bed at night with a tech-9 gun under my pillow . '' '",2.4,3.5,2.8
617,packwood later resigned .,2.8,2.8,2.9
618,and starke was tired of seeing washington and its young people suffer a black eye .,2.44,3.0,3.11
619,"so , after six years of planning , he opened the excel institute automotive program , a two-year school that gives people a chance at a new life as an auto technician or in another job related to the field .",3.1,2.9,3.0
620,"the program is being copied by other cities and has attracted students from all walks of life , ages 16 to 68 .",3.6,3.3,3.3
621,students learn automotive intricacies and can earn a a high school equivalency diploma .,3.0,2.9,3.2
622,"starke , 54 , played in two super bowls and won one .",3.63,3.0,3.12
623,"he played for george allen , jack pardee and joe gibbs .",3.0,2.9,3.0
624,"in 1973 , he was young enough to be a part of the redskins ' over the hill gang , and in 1981 he was old enough to be one of the team 's original hogs .",2.86,2.86,3.29
625,he was recently named one of the 70 greatest redskins .,3.14,3.14,3.0
626,"he earned a physics degree from columbia , became a redskin , studied drama , worked in sports broadcasting , opened a washington restaurant and built his own home here when he thought he might become a developer , `` just so i could know how the business worked from the ground up , '' he said .",3.22,3.11,3.11
627,"`` just so i could know how the business worked from the ground up , ''",3.0,2.91,3.09
628,"in 1992 he sold it to begin work on the excel institute , putting up $ 300,000 to get things started .",3.12,3.12,3.12
629,"`` i saw a lot of kids and young men out there with no dads and no structure who could n't read and some of them were beginning to realize that there is no growing old as a crack dealer -- you either die or go to jail , ''",2.56,3.11,3.0
630,"`` i saw a lot of kids and young men out there with no dads and no structure who could n't read and some of them were beginning to realize that there is no growing old as a crack dealer -- you either die or go to jail , '' he said .",2.5,2.9,2.9
631,`` my experience in the automotive industry was there was a dire shortage of auto technicians not only in america but internationally . '',2.9,2.9,2.8
632,the institute has a full-time staff of 18 .,3.17,2.67,3.17
633,seventy students are participating in summer classes .,3.1,2.9,3.0
634,"she learned to speak english , got a driver 's license and earned her ged .",3.2,3.0,3.0
635,"`` the document speaks for itself , ''",3.2,3.0,3.2
636,"charles easterling , 24 , said he had been enrolled for a month but lived `` wherever . ''",2.9,2.9,3.0
637,`` wherever . '',2.9,2.9,3.3
638,"`` i 'm homeless now trying to find a place to lay my head , ''",2.2,3.4,2.8
639,starke said the school was helping easterling find housing .,3.1,2.9,2.8
640,easterling said he would do whatever it took to become stable .,3.1,3.3,3.2
641,not bad for a guy who was kicked out of high school in 1997 for threatening a teacher .,3.3,3.2,3.0
642,"`` i did a lot of walking , got an interview and got a job and an opportunity of a lifetime , ''",3.78,3.11,3.44
643,`` it shows if you have the will and the dedication here you can learn a lot and be something .,3.3,3.0,3.4
644,`` it shows if you have the will and the dedication here you can learn a lot and be something . it taught me maturity . this school is like a big family . '',3.7,3.3,3.4
645,it taught me maturity .,3.0,2.89,3.22
646,this school is like a big family . '',3.0,2.9,3.0
647,"edward jewell , 56 , retired from his job as a copyright assistant at the library of congress in 1993 .",3.0,2.62,3.0
648,"`` i 've been flapping my wings since until i found this school , ''",3.38,3.25,3.12
649,`` i needed a new skill .,3.0,2.88,3.13
650,"this has been invaluable , enriching .",3.4,2.9,2.9
651,i get up and come down here at 6 a.m .,3.1,3.1,3.2
652,every day full of joy and energized .,3.83,3.67,3.33
653,"i 'm grateful to george starke to have had the vision to set something like this up , not just for me but for all the students .",3.89,3.33,3.22
654,"within minutes after the committee released its letter publicly , torricelli took the senate floor tuesday night to apologize to the people of new jersey for allowing his seat in the chamber `` to be placed in this position . ''",2.8,3.2,3.3
655,"and when i become a technician , i will help the poor and needy by giving them affordable rates . ''",3.2,3.0,2.9
656,starke said the school would move to a building near the city 's bus depot in the fall .,3.0,2.9,3.1
657,he is proud of the red cobra 427 that sits in the school 's workshop .,3.25,3.0,3.5
658,it was rebuilt from shell to finish by his first class and was included in the district 's millennium celebrations .,3.0,2.86,2.86
659,his current class is rebuilding a black one .,3.0,3.0,3.0
660,this one will be auctioned for the school .,3.0,3.1,3.2
661,"`` i just wanted to be a part , ''",2.7,3.2,2.6
662,"`` i just wanted to be a part , '' said starke , who is certain he is the lone redskin , past or present , who lives in the city .",2.4,3.2,2.8
663,`` a lot of kids are afraid of 'the process ' and i wanted to take 'the process ' out .,2.8,2.8,3.3
664,"`` a lot of kids are afraid of 'the process ' and i wanted to take 'the process ' out . for this school , once they are in , all they have to do is come every day , come on time every day and work hard . a little more than 50 percent of our kids make it through . i want it to be more , but my job is not to see that everybody makes it ; my job is to see that everybody has the opportunity to make it . ''",3.4,3.2,3.4
665,'the process ',3.1,2.6,3.1
666,'the process ',2.9,3.0,2.9
667,"for this school , once they are in , all they have to do is come every day , come on time every day and work hard .",3.12,3.25,3.25
668,a little more than 50 percent of our kids make it through .,2.89,2.56,3.11
669,"i want it to be more , but my job is not to see that everybody makes it ; my job is to see that everybody has the opportunity to make it . ''",3.0,3.0,3.44
670,"the anonymous buyer , believed to be an individual collector who lives in the united states , made the winning bid in a fiercely contested nine-minute auction at sotheby 's in manhattan .",3.4,3.3,3.2
671,"eight bidders were joined by 500 coin collectors and dealers in an auction house audience seemingly devoid of celebrity bidders , while an additional 534 observers followed the bidding on ebay .",3.0,3.1,3.2
672,`` to be placed in this position . '',3.11,2.89,2.67
673,"as auction houses prepare for their fall seasons in an uncertain economy , the sale price `` suggests that the marketplace for important items is enormously strong , '' said david redden , a vice chairman at sotheby 's , who was the auctioneer .",3.0,2.78,3.11
674,"`` this is an astonishing new record for a coin , ''",3.43,3.43,3.29
675,"`` this is an astonishing new record for a coin , '' he said .",3.4,3.4,3.0
676,"in an unprecedented move , the auction proceeds were split by the u.s. mint and a london coin dealer , stephen fenton , who had won that right in court after having been arrested by secret service agents for trying to sell the coin in the waldorf-astoria hotel in manhattan in 1996 .",3.0,3.25,3.12
677,"during nearly seven hours of sworn testimony last week before the members and staff of the ethics panel , torricelli said that he had not taken any gifts from chang , and that what items he had accepted from the businessman he had later paid chang for , one person familiar with his account said .",3.0,2.88,3.0
678,"henrietta holsman fore , the director of the u.s. mint , who witnessed the sale , said , `` the monies we receive will go toward helping to pay down the debt and to fight the war on terrorism . ''",3.3,2.9,3.6
679,`` the monies we receive will go toward helping to pay down the debt and to fight the war on terrorism . '',3.0,2.9,2.9
680,"fenton commented that the double eagle had been on `` a long historic journey , with a very satisfying ending . ''",3.1,2.9,3.2
681,"`` a long historic journey , with a very satisfying ending . ''",3.8,3.3,3.0
682,`` i am thrilled with the price . '',4.56,4.0,3.78
683,"the previous numismatic record holder was an 1804 u.s. silver dollar , which sold for $ 4.14 million in 1999 .",3.1,3.1,3.2
684,"`` i have never seen as much interest in the sale of any coin in my 30 years in the business , ''",3.2,3.3,3.2
685,"`` i have never seen as much interest in the sale of any coin in my 30 years in the business , '' said lawrence r. stack , the company 's managing director .",3.14,3.0,3.0
686,"`` this is the mona lisa of coins , '' said beth deisher , editor of coin world , the largest weekly coin publication in the united states , with a circulation of 85,000 .",3.11,3.11,3.22
687,`` it is unique .,3.3,3.1,3.1
688,`` it is unique . forbidden fruit . '',3.2,3.2,2.9
689,forbidden fruit . '',3.0,3.56,3.11
690,"collectors ' web sites have surged with speculation about the sale price , and enthusiasts even organized betting pools .",3.3,3.2,3.2
691,"on tuesday night , redden took the podium for nine minutes before the gavel came down , recognizing bidders in the audience and on the telephone .",3.1,3.0,3.0
692,"the tension in the crowd was broken with a burst of applause after the $ 5 million mark , and a louder explosion at $ 6 million .",3.3,3.2,3.2
693,"the rumor in the crowd had been that `` anything under $ 6 million would be a bargain , '' said ute wartenberg , executive director of the american numismatic society in manhattan .",2.9,2.7,3.1
694,"`` anything under $ 6 million would be a bargain , ''",3.22,3.22,3.11
695,most bidders dropped out after that price .,2.62,2.88,3.0
696,"the sale price of $ 6.6 million , when added to the commission , totaled $ 7.59 million .",3.3,3.1,3.1
697,"the auction attendance was swelled by coin collectors who had gathered on the eve of the american numismatic association convention , the largest coin show of the year , expected to draw more than 10,000 people to the marriott marquis hotel wednesday .",3.1,3.3,3.3
698,"`` so the auction was almost like the ribbon-cutting ceremony for the convention , '' stack said .",3.25,2.75,3.12
699,"fore of the mint said the high price for the coin was reached `` because it is one of a kind , it is beautiful and it has a great story . ''",3.6,3.5,3.3
700,"`` because it is one of a kind , it is beautiful and it has a great story . ''",3.8,3.5,3.2
701,"the coin was the only 1933 double eagle that has ever been legally offered for sale , and its maltese falconesque history only recently came to light , thanks to documents unearthed during the five-year legal battle over its ownership .",3.2,3.0,3.1
702,"in 1792 , it was deemed that all gold and silver u.s. coins would bear the depiction of an eagle , but gold pieces were issued only after a gold rush boom in 1850 .",3.12,2.5,3.25
703,they were called double eagles because their face value was twice that of the original $ 10 gold piece .,3.11,3.0,3.0
704,"following the suggestion of president theodore roosevelt , the sculptor augustus saint-gaudens redesigned the coin in 1907 in high relief , forever after giving the coins the designation `` saints . ''",3.2,3.3,3.1
705,`` saints . '',3.1,2.8,3.0
706,"but in 1933 , president franklin d. roosevelt took the united states off the gold standard , and ordered all the 1933 saints already manufactured destroyed , save for two reserved for the smithsonian institution .",2.8,2.9,3.2
707,they were never declared legal currency .,2.67,3.0,3.44
708,"presumably after being stolen by a mint employee , nine double eagles surfaced during the mid-1940s and 1950s .",2.9,2.8,2.9
709,they were seized by the secret service and melted down .,2.8,3.0,2.9
710,"but before these coins came to light , the royal legation of egypt turned up with one at the department of the treasury , and somehow got an official to issue an export license for the coin to enhance the collection of king farouk .",3.0,2.67,3.0
711,"by the time that blunder was discovered , the coin had left the united states .",2.7,3.0,3.0
712,"in 1954 , after the king was deposed , his coins were sold at auction and the double eagle vanished .",2.88,3.0,2.88
713,it went underground until it came to fenton in 1995 .,3.0,2.9,3.1
714,"his arrest in manhattan , after attempting to sell the coin for $ 1.5 million , led to a court battle over whether -- thanks to the treasury 's mistaken export permission in 1944 -- the coin could be legally owned .",2.9,2.9,3.1
715,the coin once again escaped destruction when it was moved from the treasury department vault in 7 world trade center eight months before the building collapsed after the sept. 11 terrorist attack .,2.89,3.0,3.0
716,the record price was seen as a gift by coin collectors .,3.2,3.1,2.8
717,"`` many people believe that our great coin rarities are vastly undervalued in comparison to old master paintings , '' deisher said .",2.86,3.0,3.0
718,"in a ceremony after the sale , fore of the mint declared the coin the only 1933 double eagle ever to be legally issued by the u.s. government .",3.0,2.75,3.0
719,"this `` monetized '' the coin , making it legal tender .",3.11,3.0,3.11
720,`` monetized '',2.9,2.6,3.1
721,"the buyer will receive a certificate of transfer stating just that , but only after paying the auction price and a fee of $ 20 for the face value of the coin .",3.1,2.9,3.1
722,following are excerpts from the findings of the senate ethics committee 's report on sen. robert g. torricelli 's dealings with david chang :,3.0,2.86,3.0
723,"your acceptance of a television and stereo cd player upon payment from david chang of an amount you understood to be the cost to mr. chang , rather than fair market retail value , evidenced poor judgment , displayed a lack of due regard for senate rules and resulted in a violation of the senate gifts rules ( 35 ) and , consequently , a violation of your public disclosure obligations under senate rules .",2.5,3.3,3.3
724,the ethics committee was unconvinced .,2.7,2.7,3.1
725,"continuation of a personal and official relationship with mr. chang under circumstances where you knew that he was attempting to ingratiate himself , in part through a pattern of attempts to provide you and those around you with gifts over a period of several years when you and your senate office were taking official actions of benefit to mr. chang ( contacting united states government officials , writing letters to foreign government officials and involving mr. chang of his representatives in situations where you were meeting with officials of foreign governments ) evidenced poor judgment .",2.6,2.7,3.0
726,"`` troubled by incongruities , inconsistencies and conflicts , particularly concerning actions taken by you which were or could have been of potential benefit to chang . ''",2.6,3.0,3.0
727,"the committee has also considered that the principal source of the allegations against you is david chang , a witness whose credibility has been called into question by the department of justice , a united states district judge and his own conduct .",2.8,2.9,2.9
728,"in court documents , the government noted that chang could not be trusted .",2.6,3.1,2.8
729,"on may 23 , 2002 , mr. chang was convicted of attempting to corruptly persuade a witness to give false testimony , a conspiracy to violate the federal election law and four violations of the federal election law .",2.9,3.0,3.0
730,"after evaluating the extensive body of evidence before it and your testimony , the committee is troubled by incongruities , inconsistencies and conflicts , particularly concerning actions taken by you which were or could have been of potential benefit to mr. chang .",2.78,3.11,3.11
731,"therefore , the committee . . . expresses its determination that your actions and failure to act led to violations of senate rules ( and related statutes ) and created at least the appearance of impropriety , and you are hereby severely admonished .",2.4,3.3,3.1
732,"further , the committee notes section 1 ( c ) ( 1 ) of the senate gift rule ( 35 ) concerning anything which is paid for at market value or returned . . . as well as your commitment to pay for any item which the committee might conclude were in violation of the rules , and has further concluded that you must pay chang an amount sufficient to bring the total to fair market retail value of the tv and cd player , as well as the fair market retail value of the earrings given to the three individuals at your home , with appropriate interest .",2.9,2.7,3.0
733,"the committee criticized torricelli for maintaining a `` personal and official relationship with chang under circumstances where you knew that he was attempting to ingratiate himself , in part through a pattern of attempts to provide you and those around you with gifts over a period of several years . ''",2.8,3.0,3.1
734,"`` personal and official relationship with chang under circumstances where you knew that he was attempting to ingratiate himself , in part through a pattern of attempts to provide you and those around you with gifts over a period of several years . ''",3.0,3.2,3.3
735,"this 30-second commercial is the first in h. carl mccall 's campaign for the democratic nomination for governor and will be broadcast upstate in major broadcast markets , and on cable in new york city , starting today .",3.0,2.8,2.8
736,"`` his resume is an american dream , ''",3.3,3.0,3.2
737,"they show him as an army lieutenant , at his swearing-in as a state senator , as ambassador to the united nations , surrounded by children as new york city school board president , and at other jobs , leading up to his current position , state comptroller .",3.1,3.1,3.1
738,"the action then shifts to him in an office , speaking to the camera , as the words `` experience .",3.0,2.9,3.1
739,excellence .,3.5,3.7,3.1
740,carl mccall '' appear on the screen .,3.0,2.75,2.88
741,"a male voice says , `` time magazine called his life an american dream .",3.11,3.11,3.11
742,"carl mccall , army lieutenant , state senator , ambassador to the united nations , school board president , citibank vice president , and one of the most effective comptrollers in new york history . ''",3.25,3.12,3.12
743,the candidate says : `` i grew up poor with a single mother .,2.86,3.14,2.86
744,she said education 's a sledgehammer .,2.5,2.9,3.3
745,it can open doors to opportunity .,3.5,3.62,3.25
746,that 's what education did for me .,3.2,3.1,3.2
747,"as governor , i 'll make sure that every kid in new york has the same opportunity i had , to get a good education . ''",3.3,3.4,3.4
748,this advertisement is long on introductions and short on claims of merit .,2.86,3.14,3.14
749,"thus , most of the facts presented are a matter of record .",3.0,2.9,2.9
750,"and time magazine actually called his resume , not his life , an american dream , but it also followed that up with a reference to his life , saying he was one of six children and raised on welfare .",2.88,3.25,2.75
751,the advertisement attempts to make several points and reach several different constituencies .,3.2,3.1,3.1
752,"for one , it counters the high name recognition of andrew m. cuomo , mccall 's opponent , by offering voters a straightforward introduction to the candidate , emphasizing his long list of high-level jobs in both the public and private sector .",3.0,2.62,3.12
753,"it also emphasizes leadership , an important campaign issue after sept. 11 .",3.17,3.33,3.17
754,"at the same time it gives mccall a chance to intertwine his boot-straps story with the broader issue of children and education , a priority of many democratic voters .",2.89,3.0,3.11
755,"the court , vacating nelson 's death sentence for the second time , ruled on two grounds : that the jury could have been confused by instructions on the verdict sheet and that the prosecutor made improper accusations in his closing argument .",2.8,3.3,2.9
756,"nelson , 44 , had been the only woman of 14 people on new jersey 's death row .",2.6,3.0,3.0
757,"the ruling , which does not affect nelson 's guilty plea , sends the case back to the trial court for resentencing .",3.0,3.0,3.0
758,"the state attorney general 's office has not decided whether to seek the death penalty again , a spokesman , peter aseltine , said tuesday .",2.9,3.1,3.0
759,"the court upheld the sentence of another death row inmate , robert o. marshall , convicted of arranging the murder of his wife at a picnic area on the garden state parkway .",2.7,3.2,3.0
760,"in its 5-to-0 decision in the nelson case , the court showed continuing uneasiness with the death penalty , as it has done even since adopting a voluminous set of review procedures in 1999 to govern capital cases .",3.0,2.9,3.1
761,new jersey has not had an execution since 1963 .,2.89,3.44,3.33
762,"zazzali and long had expressed similar reservations in june 2001 when the court overturned the death sentence of thomas j. koskovich , who was 18 when he killed two pizza deliverymen in an ambush .",2.43,3.0,3.28
763,the majority opinion tuesday said the court would impose higher standards in capital cases when reviewing prosecutors ' conduct and possibly ambiguous jury instructions .,3.1,3.1,3.5
764,"while all five members of the majority found the instructions to the jury on weighing aggravating and mitigating factors to be confusing , two of those justices wrote in a partial dissent that the prosecutor 's statements in his summation about the defense 's expert witnesses were within the bounds of acceptable argument .",2.88,2.87,3.25
765,"the committee did not confirm some of the most serious allegations , including chang 's claim that he gave torricelli tens of thousands of dollars in cash .",2.6,3.2,2.8
766,"two of the court 's members , chief justice deborah t. poritz and justice peter g. verniero , did not participate in the nelson case because both are former attorneys general .",3.0,2.9,3.0
767,"nelson , born glenn nelson , had severe psychological problems and a history of reclusive behavior into adulthood , and was convicted on a weapons charge in 1988 .",2.62,3.12,3.25
768,"after undergoing sex change surgery in 1992 , she pursued a career as an exotic dancer .",3.25,3.25,3.0
769,"during a 14-hour standoff , she killed a patrolman and an investigator from the camden county prosecutor 's office .",2.75,2.88,3.12
770,she pleaded guilty to murder and was sentenced to death by a jury in 1997 .,2.4,3.0,2.9
771,"the supreme court overturned that sentence in july 1998 , ruling that the prosecution had failed to disclose important information to the jury .",2.8,3.2,3.1
772,a second jury sentenced nelson to death in march 2001 .,2.33,3.33,2.89
773,"in marshall 's case , the 5-1 decision upheld a lower court 's dismissal of his petition for further review of his 1986 murder conviction .",2.9,3.0,3.1
774,"marshall , an insurance agent from toms river , was convicted of hiring a man to kill his wife while the couple were going home after an evening of dining and gambling in atlantic city .",1.89,3.22,2.78
775,the case was the subject of joe mcginniss ' best-selling book `` blind faith . '',3.0,2.9,3.1
776,`` blind faith . '',3.1,3.0,2.8
777,"the new york times said in an editorial for wednesday , july 31 :",3.0,3.0,3.0
778,"the committee said it had weighed the fact that torricelli 's principal accuser in the case had been chang , `` a witness whose credibility has been called into question by the department of justice , a united states district judge and his own conduct . ''",3.1,3.0,3.2
779,president hosni mubarak of egypt describes himself as america 's leading arab ally .,3.0,2.8,2.9
780,yet his anti-democratic behavior is an embarrassment to washington and an affront to his own people .,2.8,3.2,2.9
781,"the latest example is monday 's re-sentencing of saad eddin ibrahim , a sociologist and human rights activist , to seven years in prison for his efforts to register voters , monitor elections and report attacks on egypt 's coptic christians .",2.4,2.8,3.0
782,"ibrahim , who holds dual united states and egyptian citizenship , is 63 years old and ailing .",3.0,3.0,3.1
783,ibrahim 's harsh punishment sends a chilling message to egyptians yearning for a more accountable and tolerant society .,2.7,3.4,3.2
784,that is especially true of the state security court that ruled in this case .,3.0,2.83,3.17
785,nor is it likely his sentence would have been reaffirmed if mubarak believed that convicting an american citizen for promoting democracy and human rights might jeopardize his own standing with the bush administration and the $ 2 billion annual american subsidy that keeps his government afloat .,2.8,3.2,2.9
786,"that aid bonanza was granted to reward mubarak 's predecessor , anwar sadat , for signing a peace treaty with israel .",3.33,3.0,3.11
787,washington has never demanded good governance and democracy from cairo in return .,2.4,3.2,3.2
788,in recent months president bush has spoken of the need to promote democracy in the arab world .,3.2,3.0,3.2
789,but so far he has pushed the point only with the palestinians .,2.88,2.75,3.0
790,it is time to extend this policy to egypt .,3.0,3.0,3.0
791,"it is a country with a long and glorious history , a substantial middle class , a peace treaty with israel and large quantities of american aid .",3.22,3.11,3.22
792,under mubarak it has squandered economic and diplomatic opportunities and relentlessly stifled political debate .,2.71,3.14,2.86
793,its official media are awash in anti-american and anti-semitic propaganda .,2.5,3.4,3.0
794,the state department and american officials in cairo have issued diplomatically phrased protests of ibrahim 's trial and sentence .,2.9,3.0,3.0
795,this is entirely insufficient .,2.5,3.2,3.3
796,what is needed is a message delivered personally by bush and other top officials not only about the inexcusable treatment of ibrahim but of the contemptuous approach to democratic values .,2.5,3.3,2.9
797,"in may , that judge sentenced sentenced chang to 18 months ' imprisonment for obstructing justice and making $ 53,700 in illegal campaign contributions to torricelli 's 1996 senate campaign .",2.78,3.0,3.0
798,"the new york times said in an editorial for wednesday , july 31 :",3.0,2.9,3.0
799,"responding to a wave of public dismay over the first designs for rebuilding lower manhattan , gov . george pataki has sent word that it 's time to go back to the drawing board .",2.6,3.0,3.0
800,"it is the right message , sent while it is still early enough to do something constructive about the disappointing quality of the work so far .",2.43,3.14,3.0
801,"the governor , like mayor michael bloomberg , now seems committed to creating a better mix of uses for ground zero , and a 24-hour community in manhattan 's downtown .",3.25,3.12,3.25
802,"while rethinking the plans will delay the original rebuilding schedule slightly , it does not need to stall progress if the governor keeps the pressure on the lower manhattan development corp .",3.0,3.2,2.9
803,and the port authority of new york and new jersey .,3.0,2.88,3.0
804,new york can not afford to have a gaping hole that mocks the city and its process for rebuilding what was destroyed .,2.6,3.5,3.4
805,renegotiating that issue with the world trade center leaseholders should begin immediately .,3.0,3.0,3.0
806,"opening the process to other designers , both here and internationally , will help separate this urban plan from the ordinary .",3.0,2.78,3.0
807,"the city also needs to begin openly discussing what happens underground , in particular with the transportation network .",3.0,3.12,3.12
808,"at this point , planners have focused on short-term repair of path and subway lines , with medium-range proposals being shopped in washington that could untangle the disorganized web of subway lines downtown .",3.2,3.0,3.2
809,"but at the time of chang 's sentencing , the judge , alfred m. wolin , also said the businessman had cooperated closely with federal investigators , providing them with information that was `` material and credible . ''",2.9,2.8,3.1
810,within the next few weeks the lower manhattan development corp .,3.0,2.71,3.0
811,and the port authority should offer some bigger ideas about how to connect the downtown area better to the rest of the region .,2.8,2.9,3.1
812,lowering west street alongside the world trade center site and building a park or esplanade on top is another option that has been popular with those reviewing the first six public proposals .,3.2,3.1,3.0
813,"but it would be expensive , and the governor , the mayor and their friends in washington will have to look at long-range ways to pay the bill .",2.82,2.91,3.09
814,pataki 's recent remarks are a sign that he understands how central the rebuilding of lower manhattan will be to his own political legacy .,3.0,3.12,3.12
815,"now he needs to follow through with action , to keep demonstrating that his core concern is coming up with the best possible plan , not simply keeping the issue on hold until after this fall 's election .",3.12,2.88,3.25
816,"the new york times said in an editorial for wednesday , july 31 :",3.0,2.88,2.88
817,a debate on how to make the 32-year-old clean air act a stronger and more efficient instrument is surely long overdue .,3.0,3.0,3.12
818,"but the bush plan falls well short of the only other credible proposal on the table , a bill sponsored by sen. james jeffords , independent of vermont .",2.8,3.0,3.0
819,"like jeffords , the president calls for substantial reductions in three major pollutants -- the nitrogen oxides that produce smog , sulfur dioxide , which causes acid rain , and mercury .",2.8,3.3,3.0
820,that is a huge omission .,2.5,3.0,2.8
821,"even for the pollutants he addresses , bush 's timetable is too leisurely .",3.0,2.64,3.09
822,he aims to reduce all three by 70 percent by 2018 .,3.1,2.9,3.2
823,the jeffords proposal would make the same sizable reductions by 2008 .,2.9,2.8,3.2
824,"finally , the bush proposal would roll back key provisions of the existing clean air act that jeffords would keep .",2.8,2.9,3.0
825,"bush argues that the regulatory mechanisms he has in mind for reaching clear skies ' goals , chiefly a market-based emissions trading scheme , will be so effective that the need for many existing rules will disappear .",3.3,3.1,3.1
826,the ethics committee has the power to punish lawmakers with sanctions ranging from public or private letters of admonition to censure or expulsion .,2.88,3.25,3.25
827,this page has long embraced emissions trading as an essential tool for reducing pollution at manageable cost .,3.1,3.1,3.1
828,"but some regulations , aimed at specific regional problems that nationwide trading alone is unable to address , can not lightly be abandoned .",2.75,3.0,3.12
829,"among these are rules governing emissions that limit visibility in the national parks , and rules governing pollution that drifts eastward from midwestern power plants .",2.9,2.4,3.0
830,"indeed , bush has already made clear his intention to roll back one of the most important of these regulations , a provision known as new source review that compels utilities to install modern pollution controls whenever they significantly upgrade older plants .",3.11,3.0,3.44
831,"the bush bill , as written , is not the way to get there .",2.5,2.8,3.1
832,"in torricelli 's case , it acted without conducting a full investigation , saying the case had been exhaustively scrutinized by federal authorities .",2.9,2.7,2.9
833,"a lawyer for chang , bradley d. simon , said tuesday night that he was disappointed that the ethics panel had confirmed only a handful of the gifts he said his client had given torricelli , and that the panel did not deal with what he said were actions by torricelli to thwart the federal investigation .",2.6,3.1,2.8
834,"`` this matter was far more serious than what the committee found , ''",2.57,3.0,3.14
835,"`` this matter was far more serious than what the committee found , '' simon said .",2.75,3.25,2.88
836,"according to two government officials involved in the inquiry , the ethics committee received a vast amount of information from federal investigators , some of it under a court order issued in march .",2.9,2.9,3.1
837,"the committee 's letter did not mention chang 's reported gifts to torricelli of an $ 8,100 rolex watch , about a dozen italian-made suits and a $ 3,816 antique grandfather clock .",2.89,3.0,3.0
838,"`` your actions and failure to act led to violations of senate rules ( and related statutes ) and created at least the appearance of impropriety , ''",2.38,3.25,3.25
839,"`` your actions and failure to act led to violations of senate rules ( and related statutes ) and created at least the appearance of impropriety , '' the three democrats and three republicans on the committee said in a three-page letter to torricelli .",2.5,3.1,3.2
840,a government official involved in the inquiry said that evidence of those gifts was either incomplete or the subject of conflicting accounts by different witnesses .,2.8,2.8,3.2
841,the committee confirmed torricelli 's claims he had made partial repayments to chang for two gifts : a large-screen television and a stereo compact-disc player .,3.2,2.8,3.1
842,but it said the senator had showed `` poor judgment '' by failing to reimburse him for the full market value of the gifts .,2.8,2.8,2.9
843,a person familiar with torricelli 's testimony to the committee said he had told its members that he repaid the `` wholesale '' cost of the appliances because chang told him that was what he had paid .,2.8,3.0,3.1
844,`` wholesale '',3.0,3.0,3.0
845,the ethics panel also criticized torricelli for taking two bronze statues on loan from chang .,2.7,2.8,3.2
846,"the statues , the existence of which had not been publicly known before , were displayed in torricelli 's senate office .",3.0,3.0,3.14
847,"the senator 's belief `` that such items were of little value or were not gifts to you under the circumstances '' displayed poor judgment and violated senate gift rules , the panel found .",2.6,3.2,3.2
848,"according to a government official involved in the inquiry , the information reviewed by the ethics committee also included an analysis by federal investigators showing that during the period in which chang claimed to have made numerous cash payments to torricelli , the senator spent thousands of dollars more in cash than investigators could account for from his bank withdrawals and other known sources of income .",2.62,3.0,3.0
